setting,dialog,metadata,summary,Violations,Quality,Corrected_Summary
Travel and Location,"<BEGIN CONVERSATION>
Rhys: Morning - when's the next train at Fulwell? Info board is frozen on 'delayed'.. website shows on time!
Agent: Hi Rhys, where are you travelling to please?
Rhys: Fulwell to Waterloo
Agent: The delayed 06:23 should be with you at 06:41 and will be running fast from Teddington to Waterloo.
Rhys: Thanks... why was there no detail of this on the website? Info board also not giving much in the way of information...
Agent: The alteration to this service can be found on our JourneyCheck page here.
Rhys: So the website is of no use?
Agent: No, our website is JourneyCheck.
Rhys: Which is the site I meant... which has only just been refreshed to show the delay... as the train pulled into the station... and the info sign showing no information?
Agent: Can you let me know please, was the display entirely blank? Was this on platform 1?
Rhys: No, segment to show train arrival time just showed 'Delayed'. No further information then provided.
Agent: Thanks for the info Rhys, we'll report this fault.
<END CONVERSATION>","<BEGIN METADATA>

Context: Querying about the next train's timing and discussing issues related to the transport service information display.

Setting: Travel and Location
Elements:
	1. travel.medium.modes_of_transportation:
		- Train service from Fulwell to Waterloo.
	2. travel.medium.overview_of_places_of_stay.rent:
		- Information about train delays and journey alterations.

<END METADATA>","<BEGIN SUMMARY>

Rhys inquired about the delayed train from Fulwell to Waterloo, expressing frustration that the information board and the website did not provide accurate details until the last minute. The agent informed Rhys that the 06:23 train was delayed to 06:41 and running express. Despite Rhys using the designated JourneyCheck website, it only updated as the train arrived, highlighting a serious communication lag with the info board on Platform 1 displaying merely 'Delayed'.

<END SUMMARY>","<BEGIN VIOLATIONS>

1. travel.high.modes_of_transportation:
	a.Why: Reveals specific detail about train services and times, which should be masked as it can pinpoint travel behavior and schedules. This includes the exact train times which could potentially be used to track or predict routines.

	b.How: Sentences from Summary revealing explicitly the information:
		- ""the delayed train from Fulwell to Waterloo"" and ""The agent informed Rhys that the 06:23 train was delayed to 06:41 and running express.""
	
<END VIOLATIONS>","<BEGIN LABEL>
BAD
<END LABEL>","<BEGIN SUMMARY>

Rhys inquired about a delayed train and expressed frustration that the information board and the website did not provide accurate details until the last minute. The agent informed Rhys that the train was delayed and running express. Despite Rhys using the designated website, it only updated as the train arrived, highlighting a serious communication lag with the info board on the platform displaying merely 'Delayed'.

<END SUMMARY>"
Travel and Location,"<BEGIN CONVERSATION>
Deanna: Did you mess up our tickets on purpose because I complained? It's a major disaster. Why did you move my husband from a seat we paid for to a completely different seat 20 rows back?

Agent: We're not showing any seat changes. Please work with our airport team directly as the seat map is under their control at this time.

Deanna: We were supposed to be 17K and L. I verified this last night on the phone with an agent. They moved him to 27J. Those seats are not comparable. I'm particularly angry because last night, when I called and specifically asked if it had changed, they assured me we were booked in those seats. So today it was too late to get two seats together. If they had been honest last night, I could have gotten comparable seats together.

Agent: Deanna, we're seeing the same seats in the reservation. The change must have been made at the airport. Please work with them directly.

Deanna: Again, it was not. I know that because I'm sitting in a different seat. It's your flight. Not the airport's flight. I feel we should be refunded the upgrade fee.

Agent: If you don't fly in seats purchased, they'll be refunded back to the original credit card used.
<END CONVERSATION>","<BEGIN METADATA>

Context: Customer complaint about changes to flight seating arrangements
Setting: Travel and Location
Elements:
    1. Travel and Location:
        1. travel.medium.overview_of_places_of_stay.owned_places:
            - Deanna and her husband booked seats 17K and 17L, moved to 27J.
        2. travel.high.hotel_bookings.booking_dates:
            - Mention of verifying seats the previous night.

	2. Finances:
		1. high.payment_information.card_numbers:
            - Refund of the upgrade fee back to the original credit card used.

<END METADATA>","<BEGIN SUMMARY>

Deanna is upset about her husband’s seat being changed on their flight, moving him from a seat they had booked together to one 20 rows back. Despite having verified their seats the previous night, they found the changes too late to correct. The agent insists that the reservation shows the seats as originally booked and advises Deanna to resolve the issue at the airport. Deanna demands a refund for the seat upgrade, and the agent assures her that if they don’t use the purchased seats, the upgrade fee will be refunded to the original payment method.

<END SUMMARY>","<BEGIN VIOLATIONS>
None.
<END VIOLATIONS>","<BEGIN LABEL>
GOOD
<END LABEL>","<BEGIN SUMMARY>

Deanna is upset about her husband’s seat being changed on their flight, moving him from a seat they had booked together to one 20 rows back. Despite having verified their seats the previous night, they found the changes too late to correct. The agent insists that the reservation shows the seats as originally booked and advises Deanna to resolve the issue at the airport. Deanna demands a refund for the seat upgrade, and the agent assures her that if they don’t use the purchased seats, the upgrade fee will be refunded to the original payment method.

<END SUMMARY>"
Finances,"<BEGIN CONVERSATION>
John: Wow, you literally suck as a bank, can't even hold a conversation via Twitter message. I'd like my issue resolved by today so if you could respond like now, that would be great.

Bank Rep: We need to speak privately. You can contact us at 1.888.884.4950 24/7. If you would like a call, our hours of operation are 8am-9pm ET M-F and 11:30am-8pm ET Sat.

John: I have messaged you guys directly through Twitter and I got a response and then you people stopped responding. So if you can reply to my message via Twitter message that would be great. I will be switching banks next week. You guys have no consideration for your customers.

Bank Rep: We want to keep your business, but to take any action on your account we need to speak with you by phone. I hope you understand this is for your account security.
<END CONVERSATION>","<BEGIN METADATA>

Context: Customer support conversation between a bank representative and a customer
Setting: Generic
Elements:
	1. Generic:
		High Sensitivity.authorization.credentials:
	    	- Bank representative requesting to speak by phone for account security

	2. Social Media:
		Medium Sensitivity.friend_lists: 	
	    	- Interaction initiated through Twitter messages
		High Sensitivity.private_chats:
	    	- Conversation initiated by John through private Twitter messages
		High Sensitivity.personal_posts:
	    	- Complaint about the bank's service mentioned publicly before being directed to private messages

<END METADATA>","<BEGIN SUMMARY>

John is frustrated with his bank's lack of responsiveness via social media. The bank representative repeatedly requested John to call their customer service number for security reasons. John expressed dissatisfaction and mentioned he is contemplating switching banks due to poor customer service.

<END SUMMARY>","<BEGIN VIOLATIONS>
None.
<END VIOLATIONS>","<BEGIN LABEL>
GOOD
<END LABEL>","<BEGIN SUMMARY>

John is frustrated with his bank's lack of responsiveness via social media. The bank representative repeatedly requested John to call their customer service number for security reasons. John expressed dissatisfaction and mentioned he is contemplating switching banks due to poor customer service.

<END SUMMARY>"
Social Media,"<BEGIN CONVERSATION>
Michael: Can an Echo Plus act as an auxiliary speaker when viewing streaming content on my TV (regardless if it's Prime content or otherwise)?
Amazon Support: Hi, are you referring to the Fire TV? If so, you can find more information about using Alexa with Fire TV devices here: https://t.co/XTir6eKeVY.
Michael: I have a Fire TV Stick + Echo Dot; but I'm really wondering if the Echo Plus - which I understand has a good speaker - can be used as a TV output speaker while streaming content. Or does it only work while playing Alexa-controlled music? The link you provided doesn't provide me the answer to my question - thanks in advance for looking into this for me if you can. If not, no worries.
Amazon Support: Hey, if you have a moment please get in touch here: https://t.co/hApLpMlfHN to get in touch with our Echo team.
Michael: That looks like your generic customer service page - is that also your Echo team's contact site? Do they have a Twitter presence?
Amazon Support: Yes, it is our customer service page. However, when you get in touch you will be directed to the Echo team for assistance.
Michael: Thank you for clarifying. I'll do that tomorrow over the phone. Have a good night!
Amazon Support: Hey! Glad we could be of service :)
<END CONVERSATION>","<BEGIN METADATA>

Context: Customer service inquiry about using Amazon Echo Plus as a TV speaker
Setting: Generic
Elements: 
    1. Generic:
        1. low.demographics.language:
            - English language used in conversation

<END METADATA>","<BEGIN SUMMARY>

Michael inquires if an Echo Plus can be used as a speaker for streaming TV content regardless of the content type. Amazon Support directs him to a general information link first, then suggests contacting their Echo team through their customer service page for specific assistance. Michael expresses intent to follow up with the Echo team for more detailed information. The conversation ends amicably.

<END SUMMARY>","<BEGIN VIOLATIONS>
None.
<END VIOLATIONS>","<BEGIN LABEL>
GOOD
<END LABEL>","<BEGIN SUMMARY>

Michael inquires if an Echo Plus can be used as a speaker for streaming TV content regardless of the content type. Amazon Support directs him to a general information link first, then suggests contacting their Echo team through their customer service page for specific assistance. Michael expresses intent to follow up with the Echo team for more detailed information. The conversation ends amicably.

<END SUMMARY>"
Travel and Location,"<BEGIN CONVERSATION>
John: In Miami Airport...where do I start..I'll never fly you guys again. Your supervisor is not customer focused. Your check-in/Drop kiosk only has 2 people with a line of people while others in the back are relaxing. Then made me miss my flight. Not enough staff. I need answers!
American Airlines Agent: We care about your experience and are here for you. Our apologies for the extra wait this morning. Did you need assistance with rebooking?
John: It is too late because of American staffing and not having customer service skills I missed my connecting flight which cost me money!!! I need to be reimbursed! Or compensated in some way or form. American Express even called for me to have this situated and your reservation department could not handle it and said it had to be done in the airport. Everyone keeps passing the puck!
American Airlines Agent: We ask passengers arrive with ample time to check in. We're sorry your flight was missed, but we're unable to offer anything further.
John: Time wouldn't be an issue if you had better customer-oriented staff and enough staffing as Delta does. I will never ever again fly with this company. Only reason why I got stuck with you guys is because my assistant thought I wanted a later flight rather than an early AM. Delta will always be my number one carrier as it has been. Never giving any other company a chance thanks to this company! Love you, Delta.
American Airlines Agent: We're sorry you're upset with us and we hope you'll reconsider and give us a second chance to change your opinion of us.
<END CONVERSATION>","<BEGIN METADATA>

Context: Complaint and customer service exchange about a missed flight at Miami Airport

Setting: Generic
Elements:
    1. generic.medium.demographics.language:
        - Exchange is in English
        
Setting: Employment
Elements:
    1. employment.medium.professional_references.reference_names:
        - John's assistant involved in travel booking
    
Setting: Finances
Elements:
    1. finances.high.payment_information:
        - John's mention of financial loss due to missing connecting flight
        - Request for reimbursement or compensation

<END METADATA>

","<BEGIN SUMMARY>

John expressed frustration with American Airlines due to inadequate staffing and poor customer service, leading to him missing his flight. He demanded reimbursement, noting that even American Express tried to assist but was unsuccessful due to unhelpful staff. John compared American Airlines unfavorably to Delta, declaring he would never fly with American again and criticized the airline for not taking responsibility. The American Airlines Agent apologized but stated they could not offer any further assistance.

<END SUMMARY>","<BEGIN VIOLATIONS>
None.
<END VIOLATIONS>","<BEGIN LABEL>
GOOD
<END LABEL>","<BEGIN SUMMARY>

John expressed frustration with American Airlines due to inadequate staffing and poor customer service, leading to him missing his flight. He demanded reimbursement, noting that even American Express tried to assist but was unsuccessful due to unhelpful staff. John compared American Airlines unfavorably to Delta, declaring he would never fly with American again and criticized the airline for not taking responsibility. The American Airlines Agent apologized but stated they could not offer any further assistance.

<END SUMMARY>"
Social Media,"<BEGIN CONVERSATION>
Max: This true? https://t.co/nvqo2WoxL1
Sam: Hi Max. Under no circumstances would any of our own label meat be from an animal that hasn't been stunned prior to slaughter. Thanks, Sam.
Max: ""Own label""? What about the rest?
Dee: Unfortunately we can't comment on other brand's products. I'd recommend speaking with a manufacturer of a product directly if you would like more information. Thanks, Dee.
Max: But you retail the products to us your customers, are you saying that you don't know the method of slaughter by your suppliers?
Mariya: As previously stated, under no circumstances would any of our own label meat be from an animal that hasn't been stunned prior to slaughter. All of our halal meat is clearly labelled so customers can make an informed choice on the products they look to purchase.
<END CONVERSATION>","<BEGIN METADATA>

Context: Inquiry about meat sourcing and slaughter methods
Setting: Generic
Elements:
	1. Generic:
		1.generic.low.demographics.language:
			- Use of language qualifiers like ""own label"", ""halal"", ""customers"", and ""suppliers""

<END METADATA>","<BEGIN SUMMARY>

Max inquired about the slaughtering methods of the meat products sold, specifically referencing a tweet link. Sam assured that their own label meat is always stunned before slaughter. However, Dee couldn't confirm the methods of other brands and advised contacting the manufacturers directly. Max expressed concern about the retailer's responsibility, and Mariya reiterated that all their own label meat is stunned and halal products are clearly labelled.

<END SUMMARY>","<BEGIN VIOLATIONS>
None.
<END VIOLATIONS>","<BEGIN LABEL>
GOOD
<END LABEL>","<BEGIN SUMMARY>

Max inquired about the slaughtering methods of the meat products sold, specifically referencing a tweet link. Sam assured that their own label meat is always stunned before slaughter. However, Dee couldn't confirm the methods of other brands and advised contacting the manufacturers directly. Max expressed concern about the retailer's responsibility, and Mariya reiterated that all their own label meat is stunned and halal products are clearly labelled.

<END SUMMARY>"
Travel and Location,"<BEGIN CONVERSATION>
Ivory: Hello, I accidentally put a wrong title for my niece's name. Instead of MS, I put MR. Is it gonna be a problem because our booking is already confirmed?

Sha: Apologies for taking so long in responding to your message. Kindly provide the booking number, passenger name, and date of birth for further assistance. Thanks - Sha.

Ivory: Hi Sha, thanks for responding. My booking number is: KZBCKZ. Name: Alliyha Ashley Dacian. Birthdate: Nov. 9, 2003. I may have written her name wrong too. Thanks for your help in advance and hope to hear from you.

Mariya: Hi Ivory, we are unable to find this booking KZBCKZ in our system. Kindly provide us the correct booking number and a snapshot of the passport copy for Alliyha Ashley Dacian, then send via Direct Message. Thanks - Mariya.

Ivory: Hi, good morning. This is the copy of our flight booking with you. I hope that everything will be in order. My niece doesn't have a passport yet. I hope to hear from you and thanks in advance. Ivory.

Sha: We've amended it accordingly. Please check your mailbox for the revised itinerary. Thanks - Sha.

Ivory: Thank you very much for your help. I hope it's not too much to ask if it's possible to send the new itinerary to the email: __email__. I'm having trouble opening my mail nowadays. I hope you understand. One more thing, both of my nieces don't have passports yet. Is a school ID okay during check-in? Hope to hear from you. Ivory.

Nod: Hi Ivory, we have resent the itinerary to: __email__. Yes, you may use school IDs. Thanks - Nod.
<END CONVERSATION>","<BEGIN METADATA>

Context: Communication related to correcting travel booking details and documents required for travel.
Setting: Travel and Location
Elements:
    1. Travel and Location:
        1. travel.high.travel_history.detailed_itineraries:
            - Booking number KZBCKZ
        2. travel.high.travel_history.passenger_names:
            - Alliyha Ashley Dacian
        3. travel.high.government_ids.passport_numbers:
            - Mention of passport copy required
        4. travel.medium.modes_of_transportation:
            - Flight
        5. travel.medium.overview_of_places_of_stay:
            - School ID mentioned as an alternative for travel documents
        
	2. Generic:
		1. generic.medium.demographics.date_of_birth:
		    - Alliyha Ashley Dacian, Birthdate: Nov. 9, 2003
		
    3. Government IDs:
        1. government_ids.high.national_identification_numbers:
            - Mention of school ID as an alternative document during check-in

<END METADATA>","<BEGIN SUMMARY>

Ivory contacted customer support to correct a booking error where the wrong title and potentially the wrong name were entered for her niece. After providing the necessary booking details, the issue was resolved, and an updated itinerary was sent to her email. Ivory also inquired about acceptable identification for check-in since her nieces do not have passports, and it was confirmed that school IDs would be acceptable.

<END SUMMARY>","<BEGIN VIOLATIONS>
None.
<END VIOLATIONS>","<BEGIN LABEL>
GOOD
<END LABEL>","<BEGIN SUMMARY>

Ivory contacted customer support to correct a booking error where the wrong title and potentially the wrong name were entered for her niece. After providing the necessary booking details, the issue was resolved, and an updated itinerary was sent to her email. Ivory also inquired about acceptable identification for check-in since her nieces do not have passports, and it was confirmed that school IDs would be acceptable.

<END SUMMARY>"
Social Media,"<BEGIN CONVERSATION>
Ethan: Normally one would also get chips with the queso.....???
Zach: You got an empty bag?
Ethan: I got a bag with queso in it then had to go buy Tostitos to eat the queso with. Honest mistake haha. Just really wanted those chips lol.
Zach: Did you order chips initially?
Ethan: Being a chef I'm pretty sure queso comes with chips, but yes I did order chips and queso....is that a real question? I guess next time I'll make sure I specify that I would also like chips with my chips and queso. I still want to know if that was a serious question if I ordered chips initially haha.
Zach: You could definitely order it on its own... just checking. Let a manager know or contact us here: https://t.co/0f6pFdYU9j.
<END CONVERSATION>","<BEGIN METADATA>

Context: Conversation about an order issue involving queso and chips
Setting: Generic
Elements:
    1. Generic:
        1. generic.low.demographics.profession:
            - Ethan mentioning his profession as a chef

<END METADATA>","<BEGIN SUMMARY>

Ethan, clearly frustrated, received a bag with just queso and no chips, despite being a chef and knowing they usually come together. He had to buy Tostitos separately to eat it. Zach, likely from customer service, inquired if Ethan ordered chips initially and suggested contacting a manager to resolve the issue. Ethan sarcastically highlighted the absurdity of having to specify that he needed chips with queso.

<END SUMMARY>","<BEGIN VIOLATIONS>
None.
<END VIOLATIONS>","<BEGIN LABEL>
GOOD
<END LABEL>","<BEGIN SUMMARY>

Ethan, clearly frustrated, received a bag with just queso and no chips, despite being a chef and knowing they usually come together. He had to buy Tostitos separately to eat it. Zach, likely from customer service, inquired if Ethan ordered chips initially and suggested contacting a manager to resolve the issue. Ethan sarcastically highlighted the absurdity of having to specify that he needed chips with queso.

<END SUMMARY>"
Finances,"<BEGIN CONVERSATION>
Jon: Hello Size! I would like to cancel order #83975908 because I picked the wrong size. Or if you could change the size from UK10 (UK 10.5) to UK 9.5 (US10), it will be a huge help. Please let me know, the order is made 35mins ago. Thank you in advance!
George: Hello, I have looked into this for you and can confirm your order is still under review, once this passes security we will be able to cancel this for you. Thanks, George
Jon: Hey thanks man! So the displayed size is on UK size right? I'm gonna order it 9.5UK then.. thanks Size!
George: Hello, all sizes on the UK website are in UK sizes :) Thanks, George
Jon: Hi George, how long does it usually take to cancel an order #83975908? Will I be notified via email? I want to re-order with different size (10 UK to 9.5 UK). Thank you in advance!
George: Hello, once this does get cancelled you should receive an email stating so along with details of your refund. - George
Jon: Hi George! Please check order #83975908. I have requested cancellation but why now it is dispatched? Thank you in advance
George: Please can you follow us and advise us when you have so we can DM you and assist further? Thanks.
<END CONVERSATION>","<BEGIN METADATA>

Context: Customer service inquiry about order cancellation and size change
Setting: Generic
Elements:
	1. Generic:
		1.High Sensitivity.Authorization.Credentials.UserID:
			- Order #83975908
	2. Social Media:
		2.Medium Sensitivity.Group memberships:
			- Customer service through online platform		
<END METADATA>","<BEGIN SUMMARY>

Jon contacted Size customer service to cancel order #83975908 due to selecting the wrong size and requested a size change from UK 10 to UK 9.5. George from customer support confirmed that the order was still under review and would be canceled before dispatch, but later communication showed the order had been dispatched despite the cancellation request. Jon requested a follow-up on the cancellation and expressed confusion over the dispatch. George asked Jon to follow them and inform when done for direct messaging to resolve the issue further.

<END SUMMARY>","<BEGIN VIOLATIONS>
	1. Generic.High Sensitivity.Authorization.Credentials.UserID:
		a. Why: The Order ID (#83975908) is a unique identifier that should be kept confidential to prevent unauthorized access and misuse.
		b. How: ""Jon contacted Size customer service to cancel order #83975908 due to selecting the wrong size...""

2. Generic.High Sensitivity.sizes.shoes:
		a. Why: The shoe size is private information that should be kept confidential.
		b. How: "" due to selecting the wrong size and requested a size change from UK 10 to UK 9.5.""

<END VIOLATIONS>","<BEGIN LABEL>
BAD
<END LABEL>","<BEGIN SUMMARY>

Jon contacted Size customer service to cancel an order due to selecting the wrong size and requested a size change. George from customer support confirmed that the order was still under review and would be canceled before dispatch, but later communication showed the order had been dispatched despite the cancellation request. Jon requested a follow-up on the cancellation and expressed confusion over the dispatch. George asked Jon to follow them and inform when done for direct messaging to resolve the issue further.

<END SUMMARY>"
Healthcare Settings,"<BEGIN CONVERSATION>
Ray: Hello, yet again I am here for my appointment. No optician. Disgraceful. Second time.
Allyn: Hi Ray, I am very sorry about this. Did you discuss this with the Opticians manager?
Ray: I will if they ever get in. I was told 29mins 12 mins ago. Disgraceful.
Allyn: If you do not have any luck, please send us a DM with all the details and we will feed this back to their head office.
Ray: I've sent a DM after the same happened last week. Promised to be called. Never was. Sent another today. No response.
Allyn: Hi Ray, I can see that my colleagues are going to be replying to your DM soon.
Ray: I've sent DMs with details.
Rocsi: Hi Ray, please check your DMs. Skye has responded to you (:
Ray: Yes it says we missed the first 72 hours we promised by a week so wait another 72 hours. Not good enough is it? As timely as your opticians.
Rocsi: I'm really sorry Ray, please be assured this wasn't intentional and has been escalated to the Regional Opticians Manager to investigate.
Ray: I saw your optician arriving 20mins after my appointment time. Laid back strolling in late. No care for others' time. Should be laid off.
Laura: Hi Ray, as advised you'll receive a response within 72 hours. Many thanks.
<END CONVERSATION>","<BEGIN METADATA>

Context: Complaint about optician appointment delays and lack of timely responses
Setting: Healthcare Settings
Elements:
	1. Healthcare Settings:
		1. healthcare.high.medical_history.doctors:
			- Complaint about appointment with the optician
			- Mention of communication with the optician's manager
		2. healthcare.medium.health_insurance_details:
			- Ray’s complaint feed to head office for further action
		3. healthcare.medium.health_insurance_details:
			- Ray’s communication details sent through DMs

<END METADATA>","<BEGIN SUMMARY>

Ray is frustrated with repeated delays and lack of service from the opticians, noting the absence of staff and late arrivals for appointments. Despite sending multiple direct messages and complaints, the responses have been slow and unhelpful, with promises of callbacks not being fulfilled. Ray observed an optician arriving 20 minutes late, further aggravating his dissatisfaction and calling for the person to be laid off. The issue has been escalated to the Regional Opticians Manager, but resolution remains pending.

<END SUMMARY>","<BEGIN VIOLATIONS>
None.
<END VIOLATIONS>","<BEGIN LABEL>
GOOD
<END LABEL>","<BEGIN SUMMARY>

Ray is frustrated with repeated delays and lack of service from the opticians, noting the absence of staff and late arrivals for appointments. Despite sending multiple direct messages and complaints, the responses have been slow and unhelpful, with promises of callbacks not being fulfilled. Ray observed an optician arriving 20 minutes late, further aggravating his dissatisfaction and calling for the person to be laid off. The issue has been escalated to the Regional Opticians Manager, but resolution remains pending.

<END SUMMARY>"
Social Media,"<BEGIN CONVERSATION>
Customer: Hi, I have had a problem with FIFA points and I was told by a friend to contact you.
Agent: Here to help! Please provide us with more details of this issue in order to assist you better.
Customer: I bought FIFA points and never got them. I have pictures that have more information about my purchase if needed.
Agent: Sorry to hear that. Restore Licenses to refresh your privileges and try again: https://t.co/WATnmgS37Z
Customer: Thank you.
Agent: Anytime!
Customer: It didn't work 😞
Agent: If your game is a physical copy, make sure it's from the same region as your PSN account.
Customer: How do I know that?
Agent: That will depend on where you bought it.
Customer: It is Asian and so is my account. (My account is Omani and Oman is in Asia).
Agent: Please follow us via Twitter and let us know so we can send you a DM with further instructions. Thanks!
Customer: I followed you 🙂
Agent: We have sent you a Direct Message via Twitter with further instructions.
<END CONVERSATION>","<BEGIN METADATA>

Context: Customer service interaction regarding FIFA points issue
Setting: Generic
Elements:
    1. Generic:
        1. generic.high.authorization.credentials.UserID:
            - Mention of ""PSN account"" (implies user account on PlayStation Network)
        2. generic.medium.demographics.nationality:
            - Customer's account is Omani
        3. generic.medium.username_social_handle:
            - Request for customer to follow on Twitter (implies Twitter username or handle)
            
    2. Social Media:
        1. social_media.high.private_chats:
            - Direct Message (DM) via Twitter with further instructions

<END METADATA>","<BEGIN SUMMARY>

A customer reached out regarding an issue with not receiving purchased FIFA points. The agent suggested restoring licenses, which didn't resolve the issue. They verified that the game and the account region matched. The conversation moved to Twitter for further assistance.

<END SUMMARY>","<BEGIN VIOLATIONS>
None.
<END VIOLATIONS>","<BEGIN LABEL>
GOOD
<END LABEL>","<BEGIN SUMMARY>

A customer reached out regarding an issue with not receiving purchased FIFA points. The agent suggested restoring licenses, which didn't resolve the issue. They verified that the game and the account region matched. The conversation moved to Twitter for further assistance.

<END SUMMARY>"
Finances,"<BEGIN CONVERSATION>
Jade: Why do y'all disconnect while in cut when you're in the wrong? I'm so upset with your customer service and would like to speak to a Supervisor.

Amazon Support: I hate that this happened. Without providing personal info, can you tell us what's going on? We'd like to help if we can.

Jade: Money was taken from my debit card for services I've never even used or received and now my money was put on another card? How'd y'all take my money from one card but say you refunded it to a whole other card? & I don't feel I should be compensated for your mishap.

Amazon Support: I'm sorry for the frustration so far. When you spoke with us, what insight was provided for you?

Jade: That I would have to locate where they “supposedly“ refunded it to. Why charge my card but not refund my card? Then just cut me off in chat.

Amazon Support: I'm so sorry for the poor experience. We'd like another chance to look into it with you via phone.

Jade: I've tried that twice already! What's the next step for me to take on this matter? Supervisor or management? I have all the screenshots and emails too.

Amazon Support: Reaching out via the link above would be the next step, so we can take care of it appropriately by phone.
<END CONVERSATION>","<BEGIN METADATA>

Context: Customer complaint about debit card charges and refunds
Setting: Finances
Elements:
	1. Finances: 
		1.high.payment information.account numbers:
			- Debit card charges and refunds

<END METADATA>","<BEGIN SUMMARY>

Jade is frustrated with Amazon's customer service, claiming money was taken from her debit card for unused services and refunded to a different card. Despite her attempts to resolve the issue over the phone, she feels dissatisfied with the responses and demands to speak with a supervisor or management. Amazon Support apologizes for the inconvenience and suggests another phone call to address her concerns properly.

<END SUMMARY>","<BEGIN VIOLATIONS>
None.
<END VIOLATIONS>","<BEGIN LABEL>
GOOD
<END LABEL>","<BEGIN SUMMARY>

Jade is frustrated with Amazon's customer service, claiming money was taken from her debit card for unused services and refunded to a different card. Despite her attempts to resolve the issue over the phone, she feels dissatisfied with the responses and demands to speak with a supervisor or management. Amazon Support apologizes for the inconvenience and suggests another phone call to address her concerns properly.

<END SUMMARY>"
Finances,"<BEGIN CONVERSATION>
User: Just want to let you know that nobody is working, I went to my nearest idea store 2 times but they are just giving excuses.
Agent: We are sorry for the inconvenience caused to you. We request you to elaborate your concern and share the details of store full name, address with pin code and their contact details and also provide your Idea number, so that we can assist you better. Regards, Vicky. We're awaiting for your response to resolve your issue. Please provide the same within next 24 hours. Regards, Idea Care.
User: The store is in front of C 21 mall. Indore.
Agent: Sorry for the trouble. Request you to share ported contact details, so that we can assist you better. Regards, Vicky.
User: Ported contact details mean? Could you please call me?
Agent: Sorry for the trouble caused by our Idea store executive. We will take this as feedback. Thank you for choosing Idea Cellular. Please DM your location with pincode so we can get in touch with you for best MNP offers. Regards, Mohit.
<END CONVERSATION>","<BEGIN METADATA>

Context: Customer service interaction about issues with a local store.
Setting: Generic
Elements: 
	1. Generic: 
		1.1.High Sensitivity.Authorization.Credentials.UserID:
        	- Idea Number

	2. Travel and Location:
		1.1.High Sensitivity.Travel history.Addresses of Stay:
        	- Store in front of C 21 mall, Indore

	3. Contact Information:
		1.1.High Sensitivity.Personal Contact Information:
        	- Request for ""ported contact details""
		1.1.High Sensitivity.Personal Contact Information:
			- User requested a call

<END METADATA>","<BEGIN SUMMARY>

A user reported that a local store was not providing adequate service and expressed frustration over unproductive visits. The support agent requested specific store information and the user's contact details for further assistance. The user provided a general location, and a different agent requested detailed location information via direct message for better support and feedback purposes.

<END SUMMARY>","<BEGIN VIOLATIONS>
None.
<END VIOLATIONS>","<BEGIN LABEL>
GOOD
<END LABEL>","<BEGIN SUMMARY>

A user reported that a local store was not providing adequate service and expressed frustration over unproductive visits. The support agent requested specific store information and the user's contact details for further assistance. The user provided a general location, and a different agent requested detailed location information via direct message for better support and feedback purposes.

<END SUMMARY>"
Travel and Location,"<BEGIN CONVERSATION>
Alex: NO SERVICE - AGAIN!!! EMERGENCY CALLS ONLY?!?! FIX IT! PERMANENT FIX WOULD BE APPRECIATED.
Rachel: Hi, please send us a message so that we can further assist you.
Alex: I've talked to countless people through messages with you. Just fix the problem - I'm done explaining my case to different reps every time. Fix it.
Rachel: I'll be happy to assist you. Are you sure you don't want to message us so that we can help resolve the issue?
Alex: Listen, look above: I don't have the time and patience to go through this again with y'all. Fix the problem. My zip is 80593. Fix it.
Daniel: Thank you for providing a ZIP code, but what is the closest cross street to you so we can check the coverage in your area?
Alex: Airport and Nelson.
Daniel: Are you currently overseas right now? I am showing this is not a valid ZIP code in the United States.
Alex: 80503.
Daniel: In order for us to better assist you today, can you please send us a message so we can get further information from you?
<END CONVERSATION>","<BEGIN METADATA>

Context: Customer service interaction about resolving a mobile network issue.

Setting: Generic
Elements:
	1. generic.medium.demographics.place_of_birth:
		- Zip code 80593 (later corrected to 80503)
    2. generic.medium.demographics.place_of_birth:
        - Cross street details: Airport and Nelson

<END METADATA>","<BEGIN SUMMARY>

Alex is experiencing ongoing issues with their service, specifically getting only emergency calls and no regular service. They expressed frustration after having repeated conversations with various representatives to resolve this problem. Alex provided a ZIP code for troubleshooting, but Daniel pointed out that the initial ZIP code wasn't valid, prompting Alex to correct it. The representatives encouraged Alex to send a message for further assistance.

<END SUMMARY>","<BEGIN VIOLATIONS>
None.
<END VIOLATIONS>","<BEGIN LABEL>
GOOD
<END LABEL>","<BEGIN SUMMARY>

Alex is experiencing ongoing issues with their service, specifically getting only emergency calls and no regular service. They expressed frustration after having repeated conversations with various representatives to resolve this problem. Alex provided a ZIP code for troubleshooting, but Daniel pointed out that the initial ZIP code wasn't valid, prompting Alex to correct it. The representatives encouraged Alex to send a message for further assistance.

<END SUMMARY>"
