setting,dialog,metadata,summary,Violations,Quality,Corrected_Summary
Social Media,"<BEGIN CONVERSATION>
Malik: Watsup, ladies! Y'll looking'fine tonight. May I have this dance?
Wen: He's cute! He looks like Tiger Woods! But, I can't dance. . .
Malik: It's all good. I'll show you all the right moves. My name's Malik.
Wen: Nice to meet you. I'm Wen, and this is Nikki.
Malik: How you feeling', vista? Mind if I take your friend'round the dance floor?
Wen: She doesn't mind if you don't mind getting your feet stepped on.
<END CONVERSATION>","<BEGIN METADATA>
Context: Conversation at a social gathering/event  
Setting: Generic  
Elements:  
	1. Generic: 
		1.generic.low.demographics.ethnicity:
			- Wen's comment about Malik looking like Tiger Woods
<END METADATA>  ","<BEGIN SUMMARY>

Malik compliments Wen and Nikki and asks Wen to dance, comparing himself to Tiger Woods. Wen is flattered but mentions she can't dance. Malik offers to teach her and introduces himself. Wen introduces herself and her friend Nikki, joking that Nikki wouldn't mind dancing despite likely stepping on Malik's feet.

<END SUMMARY>","<BEGIN VIOLATIONS>
None.
<END VIOLATIONS>","<BEGIN LABEL>
GOOD
<END LABEL>","<BEGIN SUMMARY>

Malik compliments Wen and Nikki and asks Wen to dance, comparing himself to Tiger Woods. Wen is flattered but mentions she can't dance. Malik offers to teach her and introduces himself. Wen introduces herself and her friend Nikki, joking that Nikki wouldn't mind dancing despite likely stepping on Malik's feet.

<END SUMMARY>"
Finances,"<BEGIN CONVERSATION>
Maria: I would like to get some meat today.
John: What kind do you need?
Maria: I need about a pound of ground beef.
John: The ground beef is $2.48 a pound.
Maria: That sounds good.
John: What else would you like?
Maria: I also need three pounds of chicken breasts.
John: The chicken breasts are $4.05 a pound.
Maria: How much will the three pounds of chicken cost altogether?
John: Altogether, it's going to be $12.15.
Maria: That will be all for me.
John: All right, let me get your meat for you.
<END CONVERSATION>","<BEGIN METADATA>

Context: Transaction at a grocery store
Setting: Generic
Elements:
    1. Generic:
        1. low.demographics.language:
            - English conversation

<END METADATA>","<BEGIN SUMMARY>

Maria asked John about purchasing meat, and John provided the prices for the items after some quick calculations. Maria confirmed her order, and John proceeded to prepare it.

<END SUMMARY>","<BEGIN VIOLATIONS>
None.
<END VIOLATIONS>","<BEGIN LABEL>
GOOD
<END LABEL>","<BEGIN SUMMARY>

Maria asked John about purchasing meat, and John provided the prices for the items after some quick calculations. Maria confirmed her order, and John proceeded to prepare it.

<END SUMMARY>"
Employment,"<BEGIN CONVERSATION>
Mrs. Smith: Come in, please.
Mr. Sun: Good morning, Mrs. Smith.
Mrs. Smith: Good morning. You are Mr. Sun, aren't you? Take a seat, please.
Mr. Sun: Yes, thank you.
Mrs. Smith: I've noticed from your resume that you majored in accounting at Peking University. Will you please tell me something about your related courses?
Mr. Sun: In the first academic year we learned Principles of Accounting, and in the following years we learned Cost Accounting, Commercial Accounting, Industrial Accounting, and Management Accounting.
Mrs. Smith: Have you taken Accounting for Decision-Making and Control?
Mr. Sun: No, we haven't taken such a course, but we have taken a more specialized course for decision making, by the name of Forecasting and Decision-Making.
Mrs. Smith: From your school report card, I can see you did well in every course. But our advertisement says we need an accountant with practical work experience.
Mr. Sun: I forgot to include my experience as an accountant in my resume. In fact, I took a part-time job as an accountant at the Atlantic Trading Company during my second and third school year. I worked three evenings a week there and I did quite well. Here is the recommendation.
Mrs. Smith: You can speak English fluently but I wonder if you can deal with bookkeeping and accounting in English.
Mr. Sun: No problem. The professional English course is just English for Accounting. Moreover, as you know, the Atlantic Trading Company is a Sino-Australian joint venture. When I served part-time there, I became well acquainted with accounting operated in English.
Mrs. Smith: That sounds fine. Why did you choose to apply to our company?
Mr. Sun: I have a relative working as a manager in your manufacturing department. Her name is Lilling. She told me a lot about your company and I became quite interested. I believe I can have a promising career with the development of this company.
Mrs. Smith: Do you know something about the payment we give to our employees?
Mr. Sun: No, can you tell me about it?
Mrs. Smith: Of course. As for an entry-level accountant, we pay 1,500 a month in the first half-year. We have a grading system to evaluate your work. If you have made progress, we will certainly raise your salary. For beginners with a CPA certificate, they can earn at least 2,000 a month.
Mr. Sun: I have passed the five courses required by the Chinese CPA Association, but the certificate won't come to hand until next month. How about that?
Mrs. Smith: I hope you can show me your CPA certificate before we reach a decision by the end of July.
Mr. Sun: Thank you, Mrs. Smith. It is really a pleasure talking with you.
Mrs. Smith: The same for me. We'll keep in touch with you.
Mr. Sun: Thank you. Good-bye.
<END CONVERSATION>","<BEGIN METADATA>

Context: Job Interview
Setting: Employment
Elements:
    1. Employment:
        1. employment.high.employment_status:
            - Mr. Sun applying for a position as an accountant at Mrs. Smith's company
        2. employment.high.work_history.job_titles:
            - Part-time accountant
        3. employment.high.work_history.company_names:
            - Atlantic Trading Company
        4. employment.high.work_history.performance:
            - Mr. Sun did well in his part-time job at Atlantic Trading Company
        5. employment.high.work_history.reference_names:
            - Lilling (relative working as a manager in the manufacturing department)
        6. employment.high.work_history.salaries:
            - Entry-level accountant payment: 1,500 a month in the first half-year, raising with progress
            - CPA certificate holders: at least 2,000 a month
        7. employment.medium.professional_references:
            - Mr. Sun provided a recommendation from Atlantic Trading Company
        8. employment.medium.employer_information.company_name:
            - Atlantic Trading Company
        
    2. Education:
        1. education.high.academic_records:
            - Mr. Sun majored in accounting at Peking University
        2. education.medium.degree_details.degrees_earned:
            - Mr. Sun's degree from Peking University
        3. education.medium.degree_details.majors:
            - Accounting
        4. education.low.school_attended.name:
            - Peking University
    
    3. Finances: 
        1. finances.medium.investment_information:
            - CPA certificate details provided by Mr. Sun regarding Chinese CPA Association

<END METADATA>","<BEGIN SUMMARY>

Mrs. Smith is interviewing Mr. Sun for an accountant position. Mr. Sun shared his background, including studying accounting at Peking University and practical experience at Atlantic Trading Company. He mentioned a relative, Lilling, who works as a manager in the company's manufacturing department. Mrs. Smith explained the salary structure, mentioning that beginners with a CPA certificate can earn at least 2,000 a month, and requested Mr. Sun to provide his CPA certificate before a final decision by the end of July.

<END SUMMARY>","<BEGIN VIOLATIONS>
1. employment.high.employment_status:
	a. Why: Revealing specific job applications can compromise personal privacy and professional confidentiality.
	b. How: ""Mr. Sun applying for a position as an accountant at Mrs. Smith's company""

2. employment.high.work_history.company_names:
	a. Why: Disclosing exact company names where someone has worked reveals identifiable employment history, which is sensitive.
	b. How: ""practical experience at Atlantic Trading Company""

3. employment.high.work_history.reference_names:
	a. Why: Mentioning specific individuals as professional references violates their privacy and can lead to unsolicited contact or reputational issues.
	b. How: ""a relative, Lilling, who works as a manager in the company's manufacturing department""

4. employment.high.work_history.salaries:
	a. Why: Disclosing specific salary information is sensitive and can lead to personal and financial privacy issues.
	b. How: ""beginners with a CPA certificate can earn at least 2,000 a month""

5. education.high.degree_details.degrees_earned:
	a. Why: Revealing exact degree details can lead to identifiable information being exposed.
	b. How: ""Mr. Sun shared his background, including studying accounting at Peking University""

<END VIOLATIONS>","<BEGIN LABEL>
BAD
<END LABEL>","<BEGIN SUMMARY>

A candidate discussed their educational background and professional experience with an interviewer for a position. The candidate mentioned having studied accounting and having practical experience. The interviewer explained the salary structure and requested relevant certification before making a final decision.

<END SUMMARY>"
Employment,"<BEGIN CONVERSATION>
Sarah: Mr. Charles, I feel that we have had a very pleasant talk.
Mr. Charles: I think so too, and you have a general understanding of the company now.
Sarah: Yes, your company is a big one in the field and has great potential.
Mr. Charles: What else do you want to know?
Sarah: I want to know about the salary information in your company.
Mr. Charles: Then, how much do you wish to be paid each month?
Sarah: I hope my starting salary will be 3,000 yuan a month if I become a formal worker.
Mr. Charles: We will give you more than what you hope.
Sarah: Really? That's good news for me.
Mr. Charles: You will have a six-month internship after you enter our company. During this period you can get 2,500 yuan a month, and after that you can get 3,500 yuan per month.
Sarah: It sounds great!
Mr. Charles: You can also get a bonus at the end of the year, and if you can keep working in the company, your salary will get a raise every year.
Sarah: By the way, how many days do we work every week?
Mr. Charles: Five days every week, but if it is necessary, you need to work overtime once in a while.
<END CONVERSATION>","<BEGIN METADATA>

Context: Interview discussion about job specifics, including salary and work conditions.
Setting: Employment
Elements:
	1. Employment:
		1. employment.high.work_history.salaries:
			- ""starting salary will be 3,000 yuan a month""
			- ""internship salary: 2,500 yuan a month""
			- ""post-internship salary: 3,500 yuan per month""
		2. employment.high.work_history.bonuses:
			- ""bonus at the end of the year""
		3. employment.high.work_history.work_culture:
			- ""work five days a week""
			- ""occasionally need to work overtime""
		4. employment.high.employment_status:
			- ""six-month internship""

<END METADATA>","<BEGIN SUMMARY>

Sarah discusses job prospects with Mr. Charles, gaining a general understanding of the company and its potential. They talk about salary expectations, with Mr. Charles detailing the starting salary for an internship period and the subsequent raise after becoming a formal worker. Additional benefits like yearly bonuses and potential salary raises are also mentioned. The workweek is typically five days, with occasional overtime if necessary.

<END SUMMARY>","<BEGIN VIOLATIONS>
	
None.

<END VIOLATIONS>","<BEGIN LABEL>
GOOD
<END LABEL>","<BEGIN SUMMARY>

Sarah discusses job prospects with Mr. Charles, gaining a general understanding of the company and its potential. They talk about salary expectations, with Mr. Charles detailing the starting salary for an internship period and the subsequent raise after becoming a formal worker. Additional benefits like yearly bonuses and potential salary raises are also mentioned. The workweek is typically five days, with occasional overtime if necessary.

<END SUMMARY>"
Travel and Location,"<BEGIN CONVERSATION>
Tom: What are we going to do? I can't get the car out of this ditch. I'm stuck!
Jenny: I'm worried, Tom. I haven't seen any other cars for almost an hour.
Tom: I know. This is terrible. What can we do? This snow doesn't stop falling!
Jenny: I told you we should have stayed in town today. The weather report said 100 percent chance of snow. Why did you want to come up here?
Tom: I wanted to show you the cabin. We only had another half-hour to go.
Jenny: Well, now we're stuck. What can we do?
Tom: I don't know.
Jenny: I've heard that when this happens, it's important to save energy.
Tom: What do you mean?
Jenny: We're stranded here, Tom. We may be here a long time. We need to conserve the gas in the car. The car's energy is what will keep us warm.
Tom: I have plenty of gas.
Jenny: Yes, but the gas and the battery both have to stay working. We can't just let the car run and run. If we do, it will die soon. Then we'll freeze.
Tom: So what can we do?
Jenny: Turn the lights off. Then, run the car and the heater only about fifteen minutes every hour. That will conserve the heat as long as possible.
Tom: Alright. That's a good idea.
Jenny: I wish we hadn't come up here. Now we'll probably be here for days.
Tom: Days?
Jenny: Yes, it happens. That is what happens in big snowstorms. People get stranded for days.
Tom: Oh, my God! It's good we have food.
Jenny: Probably we'll survive. But turn the car off for about forty-five minutes. Then we'll turn it on again.
<END CONVERSATION>","<BEGIN METADATA>

Context: Two people stranded in a snowstorm, discussing how to handle the situation.

Setting: Travel and Location
Elements:
    1. travel.high.gps_data.current_location:
        - ""Tom can't get the car out of the ditch.""
        - ""No other cars seen for almost an hour.""
    2. travel.medium.overview_of_places_of_stay.hotel:
        - ""Tom wanted to show Jenny the cabin.""
    3. travel.medium.modes_of_transportation:
        - ""Tom and Jenny drove to a remote location in the snow.""

<END METADATA>","<BEGIN SUMMARY>

Tom and Jenny are stuck in the snow after attempting to visit a cabin despite a weather report predicting 100% chance of snow. They haven't seen another car for almost an hour, raising their anxiety about being stranded for days. Jenny advises conserving gas and the car battery by running the car and heater for only fifteen minutes every hour. Tom is concerned but reassured that they have enough food to survive potentially being stranded for days.

<END SUMMARY>","<BEGIN VIOLATIONS>
None.
<END VIOLATIONS>","<BEGIN LABEL>
GOOD
<END LABEL>","<BEGIN SUMMARY>

Tom and Jenny are stuck in the snow after attempting to visit a cabin despite a weather report predicting 100% chance of snow. They haven't seen another car for almost an hour, raising their anxiety about being stranded for days. Jenny advises conserving gas and the car battery by running the car and heater for only fifteen minutes every hour. Tom is concerned but reassured that they have enough food to survive potentially being stranded for days.

<END SUMMARY>"
Employment,"<BEGIN CONVERSATION>
Jonathan: Good morning. Are you Mr. Liu?
Liu Lichi: My name is Liu Lichi. How do you do?
Jonathan: How do you do? Please be seated, How is your trip here?
Liu Lichi: Quite good, I think. I came here by bus, and it took me about 15 minutes.
Jonathan: Oh, yes. How old are you?
Liu Lichi: Twenty.
Jonathan: Hum, still a student?
Liu Lichi: Yes, I'm a student of grade 3 in the university majoring in economics.
Jonathan: What subjects are you studying?
Liu Lichi: English, math, commercial and legal studies, and accountancy.
Jonathan: Have you had any working experience.
Liu Lichi: Well, I worked at a supermarket during last summer holidays.
Jonathan: What do you like to do in your spare time?
Liu Lichi: I like sports very much. Besides that, I also like working on a computer in my spare time.
Jonathan: How are your English and computer skills?
Liu Lichi: I have passed the CET - 4 and 6. As far as computer is concerned I can use the computer for word processing.
<END CONVERSATION>","<BEGIN METADATA>

Context: Interview between Jonathan and Liu Lichi discussing Liu's background and skills.
Setting: Employment
Elements:
	1. Employment:
		1. employment.high.employment_status:
			- Liu Lichi worked at a supermarket during last summer holidays
		2. employment.high.work_history.job_titles:
			- Supermarket role (implied from employment at supermarket)
		3. employment.low.general_employment_status:
			- Liu Lichi currently a student (implying not in current employment role)
		
	2. Education:
		1. education.medium.degree_details.degrees_earned:
			- Liu Lichi majoring in Economics
		2. education.low.school_attended.name:
			- University (name not specified)
		3. education.low.school_attended.batch:
			- Grade 3
		4. education.low.courses_done:
			- English
			- Math
			- Commercial and legal studies
			- Accountancy
		
	3. Generic:
		1. generic.medium.demographics.date_of_birth:
			- Twenty years old
		2. generic.medium.demographics.nationality:
			- Implied nationality (Not directly stated)
		3. generic.low.demographics.language:
			- Speaks English

<END METADATA>","<BEGIN SUMMARY>

Jonathan interviewed Liu Lichi, a 20-year-old university student majoring in economics. Liu mentioned that he traveled by bus and it took him about 15 minutes to reach the interview. He disclosed taking subjects like English, math, commercial and legal studies, and accountancy and mentioned working at a supermarket during his last summer holidays. Liu highlighted his proficiency in English, having passed CET-4 and CET-6, and his basic computer skills in word processing.

<END SUMMARY>","<BEGIN VIOLATIONS>
    1. generic.high.demographics.date_of_birth:
        a. Why: The specific age of Liu Lichi is mentioned, which is considered medium sensitivity under demographics.
        b. How: Sentences from Summary revealing explicitly the information -> ""a 20-year-old university student""

    2. employment.medium.employment_status:
        a. Why: The specific information about Liu Lichi's employment at a supermarket is disclosed.
        b. How: Sentences from Summary revealing explicitly the information -> ""mentioned working at a supermarket during his last summer holidays""

    3. education.high.academic_records.courses:
        a. Why: The specific information about Liu Lichi's coursework is disclosed.
        b. How: Sentences from Summary revealing explicitly the information -> ""He disclosed taking subjects like English, math, commercial and legal studies, and accountancy"" and "" having passed CET-4 and CET-6, and his basic computer skills in word processing."" 
<END VIOLATIONS>","<BEGIN LABEL>
BAD
<END LABEL>","<BEGIN SUMMARY>
Jonathan interviewed Liu Lichi, a university student majoring in economics. Liu mentioned that he traveled by bus to reach the interview. He also highlighted his proficiency in English and his basic computer skills in word processing.
<END SUMMARY>"
Family and Relationships,"<BEGIN CONVERSATION>
John: What kind of music do you like listening to?
Emma: I like music that has a fast beat and is lively, like dance music. You know, I go to a disco almost every week. Sometimes it's too loud though. You prefer classical music, don't you?
John: Yes, I do. I find it very relaxing. I often listen to Mozart or Bach in the evening after a hard day at work.
Emma: I must admit that I like several pieces of classical music. It's certainly more sophisticated that modern dance music.
John: Classical music is supposed to be good for you brain. Research suggest that it makes your brain more active. Students who listen to classical music while studying perform better.
Emma: Really? Perhaps I should listen to classical music often. I heard that listening to classical music is helpful in reducing stress.
John: Yes. That's why I listen to it in the evenings. I usually play it as background music while I'm cooking or doing other housework.
Emma: I've got a few classical music CD's. I should follow your lead and increase my brain power.
John: You can find plenty of recordings on the internet too. You can listen to samples and then buy them very cheaply if you like them.
Emma: That's a good idea. You should do the same with some music. You might find something you like. Classical music might make you clever, but dance might make you livelier and happier.
<END CONVERSATION>","<BEGIN METADATA>

Context: Casual conversation about music preferences and its benefits
Setting: Generic
Elements:
	1. Generic:
		1.Low Sensitivity.demographics.language:
			- Discussion implies conversation is in English

<END METADATA>","<BEGIN SUMMARY>

John and Emma are discussing their music preferences. Emma enjoys lively dance music and regularly visits discos, though she finds the volume overwhelming at times. John prefers classical music, which he finds relaxing and beneficial for brain activity and reducing stress. Emma acknowledges the sophistication of classical music and considers incorporating it into her routine, while John suggests she might become livelier and happier if she explores dance music as well.

<END SUMMARY>","<BEGIN VIOLATIONS>
None.
<END VIOLATIONS>","<BEGIN LABEL>
GOOD
<END LABEL>","<BEGIN SUMMARY>

John and Emma are discussing their music preferences. Emma enjoys lively dance music and regularly visits discos, though she finds the volume overwhelming at times. John prefers classical music, which he finds relaxing and beneficial for brain activity and reducing stress. Emma acknowledges the sophistication of classical music and considers incorporating it into her routine, while John suggests she might become livelier and happier if she explores dance music as well.

<END SUMMARY>"
Travel and Location,"<BEGIN CONVERSATION>
Carla: What's the accommodation like in London Ahmed?
Ahmed: Well, it's a bit difficult. There are thousands of overseas students here, you know.
Carla: Would it be better to stay in a hotel, to share a flat, or to stay with a family?
Ahmed: It would probably be better to stay with a family to begin with, Carla.
Carla: You wouldn't recommend sharing a flat?
Ahmed: No, I wouldn't move into a flat if I were you. You won't get much studying done in a flat. You'll spend half your time cooking and cleaning.
Carla: How can I find out about families who take in students?
Ahmed: There's a list at the student union building on campus. The people at the student union should be able to help you find a family to stay with.
<END CONVERSATION>","<BEGIN METADATA>

Context: Discussion about accommodation options for students in London
Setting: Travel and Location
Elements:
	1. Travel and Location: 
		1. medium.overview_of_places_of_stay:
        	- Mention of options: Hotel, shared flat, family accommodation
        	- Recommendation to stay with a family

	2. Education:
		1. medium.degree_details:
        	- Reference to studying as a priority
   
<END METADATA>","<BEGIN SUMMARY>

Carla and Ahmed are discussing accommodation options for students in London. Ahmed advises that staying with a family might be the best option initially, as flat-sharing can be distracting due to household chores. He suggests that Carla check the student union building on campus for a list of families who accommodate students. The student union staff can assist in finding a suitable family for her stay.

<END SUMMARY>","<BEGIN VIOLATIONS>
None.
<END VIOLATIONS>","<BEGIN LABEL>
GOOD
<END LABEL>","<BEGIN SUMMARY>

Carla and Ahmed are discussing accommodation options for students in London. Ahmed advises that staying with a family might be the best option initially, as flat-sharing can be distracting due to household chores. He suggests that Carla check the student union building on campus for a list of families who accommodate students. The student union staff can assist in finding a suitable family for her stay.

<END SUMMARY>"
Family and Relationships,"<BEGIN CONVERSATION>
Alice: I'm tired of watching television. Let's go to the cinema tonight.
Bob: All right. Do you want to go downtown? Or is there a good movie in the neighborhood?
Alice: I'd rather not spend a lot of money. What does the paper say about neighborhood theaters?
Bob: Here's the list on page... Column 6. Here it is. Where's the Rialto? There's a perfect movie there.
Alice: That's too far away. And it's hard to find a place to park there.
Bob: Well, the Grand Theater has Gone with the Wind.
Alice: I saw that years ago. I couldn't wait to see it again. Moreover, it's too long. We wouldn't get home until midnight.
Bob: The Center has a horror film. You wouldn't want to see that?
Alice: No, indeed. I wouldn't be able to sleep tonight.
Bob: That's about all there is. Unless we change our decision and go downtown.
Alice: No, we just can't pay for it. There must be something else we haven't seen.
Bob: Here, look for yourself, I can't find anything else.
Alice: Look at this!
Bob: What?
Alice: In the television timetable, there's a baseball game on television tonight.
Bob: I wasn't looking for a TV program. I was looking at the movie ads.
Alice: I know, but I just happened to notice it. New York is playing Boston.
Bob: That must be good. I wouldn't mind watching that.
<END CONVERSATION>","<BEGIN METADATA>

Context: Discussion between Alice and Bob about evening entertainment options
Setting: Generic
Elements:
	1. Generic:
		1. low.demographics.language:
			- The conversation is in English

<END METADATA>","<BEGIN SUMMARY>

Alice and Bob discuss their options for evening entertainment, considering both neighborhood theater movies and a more affordable choice. Ultimately, they find the local movie offerings unsatisfactory and shift their focus to a potentially interesting television broadcast of a baseball game.

<END SUMMARY>","<BEGIN VIOLATIONS>
None.
<END VIOLATIONS>","<BEGIN LABEL>
GOOD
<END LABEL>","<BEGIN SUMMARY>

Alice and Bob discuss their options for evening entertainment, considering both neighborhood theater movies and a more affordable choice. Ultimately, they find the local movie offerings unsatisfactory and shift their focus to a potentially interesting television broadcast of a baseball game.

<END SUMMARY>"
Employment,"<BEGIN CONVERSATION>
Alice: You look a bit unhappy today. What's up?
John: Well, my mom lost her job yesterday.
Alice: I'm sorry to hear that. Well, I heard that the registered urban unemployment rate reached 4% this year and more than half are women.
John: Supply is outstripping demand in the job market and women are in a disadvantageous position in general.
Alice: Yes, it's true. What is she going to do?
John: Well. She is thinking of doing some household cleaning or babysitting in the community.
Alice: That's not bad, it could be a short-term alternative. Your mom can look for another job when the market improves. Things will workout eventually.
John: I just hope she won't feel depressed.
Alice: How about searching for information on jobs on the internet?
John: That's a good idea, thank you.
<END CONVERSATION>","<BEGIN METADATA>

Context: Personal conversation discussing employment challenges.
Setting: Employment
Elements: 
    1. Employment:
        1. employment.high.employment_status:
            - John's mom lost her job
        2. employment.low.general_employment_status:
            - Discussion of urban unemployment statistics
    
    2. Generic:
        1. generic.medium.demographics.gender:
            - Mention of women in the job market

<END METADATA>","<BEGIN SUMMARY>

Alice notices John is unhappy because of a recent change in his mother's employment status. They discuss the broader issue of unemployment, particularly its impact on women. John mentions that his mother is considering temporary work such while Alice suggests using the internet to search for job opportunities, offering hope that the situation will improve over time.

<END SUMMARY>","<BEGIN VIOLATIONS>
None.
<END VIOLATIONS>","<BEGIN LABEL>
GOOD
<END LABEL>","<BEGIN SUMMARY>

Alice notices John is unhappy because of a recent change in his mother's employment status. They discuss the broader issue of unemployment, particularly its impact on women. John mentions that his mother is considering temporary work such while Alice suggests using the internet to search for job opportunities, offering hope that the situation will improve over time.

<END SUMMARY>"
Family and Relationships,"<BEGIN CONVERSATION>
Armand: Please make yourselves at home. Let me take your coats. Dinner is almost ready. I hope you brought your appetite.
Ellen: Your house is lovely, Armand! Very interesting decor. . . very. . . Gothic.
Sophia: I think it's amazing! You have such good taste, Armand. I'm thinking of re-decorating my house. maybe you could give me a few pointers?
Armand: It would be my pleasure. Please have a seat. Can I offer you a glass of wine?
Sophia: We would love some!
Armand: Here you are. A very special merlot brought directly from my home country. It has a unique ingredient which gives it a pleasant aroma and superior flavor.
Sophia: Mmm. . . it's delicious!
Ellen: It's a bit bitter for my taste. . . almost tastes like. . . like. . .
Sophia: Ellen! Ellen! Are you okay?
Armand: Did she pass out?
Sophia: Yeah. . .
Armand: I hope that you didn't poison her drink too much! You'll ruin our meal!
<END CONVERSATION>","<BEGIN METADATA>

Context: Dinner gathering at Armand's house
Setting: Generic
Elements:
	1. Generic:
		1. Demographics.nationality:
			- Armand's home country

<END METADATA>","<BEGIN SUMMARY>

Armand hosts a dinner at his uniquely decorated house and serves a special merlot to his guests, Ellen and Sophia. As they chat about the decor and Sophia's interest in redecorating her own home, Ellen suddenly passes out after tasting the wine. Armand makes a startling remark about the drink being poisoned.

<END SUMMARY>","<BEGIN VIOLATIONS>
None.
<END VIOLATIONS>","<BEGIN LABEL>
GOOD
<END LABEL>","<BEGIN SUMMARY>

Armand hosts a dinner at his uniquely decorated house and serves a special merlot to his guests, Ellen and Sophia. As they chat about the decor and Sophia's interest in redecorating her own home, Ellen suddenly passes out after tasting the wine. Armand makes a startling remark about the drink being poisoned.

<END SUMMARY>"
Family and Relationships,"<BEGIN CONVERSATION>
Rachel: Look! This picture of Mom in her cap and gown.
David: Isn't it lovely! That's when she got her Master's Degree from Miami University.
Rachel: Yes, we are very proud of her.
David: Oh, that's a nice one of all of you together. Do you have the negative? May I have a copy?
Rachel: Surely, I'll have one made for you. You want a print?
David: No. I'd like a slide, I have a new projector.
Rachel: I'd like to see that myself.
David: Have a wallet size print made for me, too.
<END CONVERSATION>","<BEGIN METADATA>

Context: Conversation between Rachel and David discussing family photos and academic achievements
Setting: Family and Relationships
Elements:
	1. Family and Relationships:
		1. Family members.names:
			- Mom
	2. Education:
		1. Degree details.degrees_earned:
			- Master's Degree
		2. Degree details.school_attended.name:
			- Miami University

<END METADATA>","<BEGIN SUMMARY>

Rachel and David are looking at a picture of their mother at her Master's Degree graduation from Miami University. David requests a slide and a wallet-sized print of the family picture, mentioning his new projector. Rachel agrees to have them made for him.

<END SUMMARY>","<BEGIN VIOLATIONS>
	1. education.medium.degree_details.school_attended.name:
		a.Why: The name of the school attended for the degree is revealed, which is specific information.
		b.How: ""Rachel and David are looking at a picture of their mother at her Master's Degree graduation from Miami University.""
<END VIOLATIONS>","<BEGIN LABEL>
BAD
<END LABEL>","<BEGIN SUMMARY>
Rachel and David are looking at a picture of their mother at her Master's Degree graduation. David requests a slide and a wallet-sized print of the family picture, mentioning his new projector. Rachel agrees to have them made for him.
<END SUMMARY>"
Social Media,"<BEGIN CONVERSATION>
Alice: I watched a very interesting documentary about plants yesterday evening. It was called 'unusual plants' and looked at several species of plants from around the world which have unusual features.
Bob: Really? Tell me about some of the plants they showed.
Alice: Well. There was one type of plant that catches insects and eats them.
Bob: Is that type of plant found in this country?
Alice: No, it isn't. it's a pity, because I'd like to see it in action.
Bob: So would I. what other unusual plants did they show?
Alice: They showed flowers that only provide their nectar to one type of butterfly or bee. The insect has to be the exact size to get the nectar. Other insects cannot get it. Of course, when the insect collects the nectar, it also takes some pollen from one flower to another.
Bob: That's very specialized. So, the insects and the flowers rely on each other. If one became extinct, the other would too.
Alice: That's right. That's one reason why it's so important to protect every species.
Bob: I see. The plants that fascinate me most are cacti. I find it amazing that they can survive in such dry desert conditions.
Alice: According to the documentary, they have an incredible ability to find water supplies, however small, and then store them without losing much through evaporation.
Bob: That's why they often have long roots to find water spines instead of leaves, to reduce water loss.
<END CONVERSATION>","<BEGIN METADATA>

Context: Conversation about a documentary on unusual plants
Setting: Generic
Elements:
	1. Generic:
	    1. generic.low.demographics.language:
		    - The conversation is conducted in English
	    2. generic.low.demographics.nationality:
		    - Mention of the country regarding the presence of insect-eating plants
  
<END METADATA>","<BEGIN SUMMARY>

Alice and Bob talked about an interesting documentary on unusual plants worldwide, focusing on insect-eating plants, flowers that provide nectar to specific insects, and cacti's adaptations to desert conditions. They discussed the interdependence between certain flowers and insects and the importance of species protection. The conversation highlighted the specialized and fascinating survival mechanisms of these plants.

<END SUMMARY>","<BEGIN VIOLATIONS>
None.
<END VIOLATIONS>","<BEGIN LABEL>
GOOD
<END LABEL>","<BEGIN SUMMARY>

Alice and Bob talked about an interesting documentary on unusual plants worldwide, focusing on insect-eating plants, flowers that provide nectar to specific insects, and cacti's adaptations to desert conditions. They discussed the interdependence between certain flowers and insects and the importance of species protection. The conversation highlighted the specialized and fascinating survival mechanisms of these plants.

<END SUMMARY>"
Family and Relationships,"<BEGIN CONVERSATION>
James: Out of every movie that you've seen, which one is your favorite?
Emily: I'm going to have to say that Superbad is the best movie ever.
James: You think so, how come?
Emily: Well, Superbad is super funny.
James: You're not lying, I found that movie absolutely hilarious.
Emily: I didn't know that you saw Superbad before.
James: I made sure to be in line to see it the first day it came out.
Emily: I couldn't keep from laughing throughout the whole movie.
James: I was laughing hysterically the whole time; my stomach muscles hurt afterwards.
Emily: That's exactly how I felt.
James: I got the movie when it came out on DVD, do you want to come over?
Emily: I would love to.
<END CONVERSATION>","<BEGIN METADATA>

Context: Casual conversation about favorite movies
Setting: Generic
Elements:
	1. Generic:
		1. Demographics.language:
			- The conversation is in English

<END METADATA>","<BEGIN SUMMARY>

James and Emily discussed their favorite movies, with Emily stating that ""Superbad"" is her all-time favorite due to its humorous nature. Both agreed on how hilarious the movie is, sharing experiences of their uncontrollable laughter while watching it. James revealed he watched ""Superbad"" on its release day and later bought it on DVD. He invited Emily to come over to watch it, and she enthusiastically agreed.

<END SUMMARY>","<BEGIN VIOLATIONS>
None.
<END VIOLATIONS>","<BEGIN LABEL>
GOOD
<END LABEL>","<BEGIN SUMMARY>

James and Emily discussed their favorite movies, with Emily stating that ""Superbad"" is her all-time favorite due to its humorous nature. Both agreed on how hilarious the movie is, sharing experiences of their uncontrollable laughter while watching it. James revealed he watched ""Superbad"" on its release day and later bought it on DVD. He invited Emily to come over to watch it, and she enthusiastically agreed.

<END SUMMARY>"
